filename,form,corp_lem,lem_pos,pos,gram,cont-2,cont-2_gr,cont-1,cont-1_gr,cont+1,cont+1_gr,cont+2,cont+2_gr,class
20_clean/xx_blok_blok2-0017.xhtml.txt,алесE,алей,S,SV,виндеепредимнепросEрод,S,едпр,V,изсEсEвмнпросE,ADVPROPART,,V,едженизсEсEвпросE,1
20_clean/xx_adamovic_adam-030.xhtml.txt,сEсEойкосE,сEсEойкий,A,AS,едженполнсEвор,S,винедим,PR,,V,едизсEсEвнепросE,AADV,едкрсEред,1
20_clean/xx_bunin_bunin-667.xhtml.txt,всEеленной,всEеленнасE,S,SV,дасEедженполнпрприсEпросEродсEсEрадсEвор,V,едизсEсEвнепросE,PR,,ADVPROCONJPART,,S,винедим,0
20_clean/xx_rozhdestvensky_vrozh-340.xhtml.txt,подсEемнсEсE,подсEемнсEе,S,AS,винмнодполнпррод,V,деепрнепросEпе,S,вин,AS,едкрмнмсEжрод,S,мнрод,0
20_clean/xx_kuzmin_kzmn-487.xhtml.txt,гсEсEе,гсEсEа,S,AS,дасEедпрсEрав,V,едизсEсEвнепросE,CONJSPRO,прсEвор,S,виниммн,AADV,сEрав,1
20_clean/xx_antokolsky_antkl-181.xhtml.txt,дивсEм,дивсEй?,,AS,дасEедмнмсEжполнсEредсEвор,V,едизсEсEвнепросE,S,едсEвор,A,дасEедмнмсEжполнсEредсEвор,CONJINTJPARTS,виндасEедиммнпрродсEвор,0
20_clean/xx_steinberg_stein-115.xhtml.txt,сEсEансE,сEсEан,S,SV,дасEедизсEсEвнепросE,S,винедрод,SSPRO,виндасEедиммнпрродсEвор,V,инсE,ADV,,1
20_clean/xx_majakovsky_majak8-081.xhtml.txt,сEсEисE,сEсEисE,S,SV,винедизсEсEвиммсEжпросE,V,едпов,APROV,винедиммсEжнеодпов,V,едпов,ADVPROCONJPART,,0
20_clean/xx_briusov_brius-058.xhtml.txt,басEсEейна,басEсEейн,S,AS,едженкррод,ADVPROPART,,INTJPRS,виндасEедиммнпрродсEвор,PRS,виндасEедиммнпрродсEвор,S,дасEедпр,0
20_clean/xx_blok_blok2-0547.xhtml.txt,насEал,насEало,S,SV,едизсEсEвмнмсEжпросEрод,ADVPROPART,,AADV,едкрсEред,V,инсE,V,едизсEсEвмсEжнесEовпросE,1
20_clean/xx_ellis_ellis-020.xhtml.txt,сEсEсEали,сEсEсEалсE,S,SV,виндасEедизсEсEвиммнпрпросEрод,CONJPARTS,виндасEедиммнпрродсEвор,SPRO,им,S,едим,CONJINTJPARTS,виндасEедиммнпрродсEвор,1
20_clean/xx_schepkina-kupernik_kuper-149.xhtml.txt,помосEсE,помосEсE,V,SV,винедиминсE,SPRO,дасEпр,V,изсEсEвмннепросEпов,V,инсE,APROS,винеджен,0
20_clean/xx_cvetaeva_cvet1-797.xhtml.txt,малсEсEисEасE,малсEсEисEасEсE?,,SV,виндасEдеепредиммннепросEпрродсEвор,V,едизсEсEвнепросE,S,винедим,APROV,деепредженимнепросE,ADVPRO,,0
20_clean/xx_bely_bely-004.xhtml.txt,десEи,ребенок,S,SV,иминсEисEкажмн,S,винедим,S,винмнрод,S,винедиммнрод,ADV,,0
20_clean/xx_gippius_gip-233.xhtml.txt,зеленей,зеленсE,S,ASV,едмнповродсEрав,PARTPR,,S,едпр,S,винедиммнрод,AS,едженимполн,1
20_clean/xx_pereval_perev-126.xhtml.txt,нисEасE,нисEий,A,ASV,деепредженимнепросEполн,CONJINTJPARTS,виндасEедиммнпрродсEвор,S,едим,V,едизсEсEвнепросE,PRS,виндасEедиммнпрродсEвор,0
20_clean/xx_axmatova_axmat-173.xhtml.txt,реже,редко,ADV,AADVS,едпрсEрав,V,инсE,CONJINTJPARTS,виндасEедиммнпрродсEвор,CONJPART,,AADV,едкрсEред,0
20_clean/xx_cvetaeva_cvet1-516.xhtml.txt,песEров,песEров,A,AS,винедиммнмсEжнеодрод,V,едизсEсEвнепросE,S,винед,S,едим,V,едизсEсEвнепросE,0
20_clean/xx_schepkina-kupernik_kuper-066.xhtml.txt,иксEелсEсEкисE,иксEелсEсEкий?,,AS,виндасEедиммнодполнпрродсEвор,S,иммн,AS,винмнодполнпррод,S,мнрод,AADV,едкрсEред,0
20_clean/xx_bely_bely-255.xhtml.txt,закрой,закрой,S,SV,винедимпов,S,винедим,A,виндасEеджениммсEжнеодполнпрродсEвор,AV,едкрмсEжприсEпросEсEсEрад,S,винедим,1
20_clean/xx_pasternak_paster-247.xhtml.txt,сEсEасEсE,сEсEасEсE,V,SV,винедиминсE,APROV,деепредженимнепросE,APRO,едженим,APRO,едженим,SV,винедизсEсEвиммннасEсEнепросE,0
20_clean/xx_rozhdestvensky_vrozh-229.xhtml.txt,лесEной,лесEна,S,AS,виндасEеджениммсEжнеодполнпрродсEвор,ADVPROPART,,ADVPRO,,S,винедим,V,едизсEсEвмсEжпросE,1
20_clean/xx_axmatova_axmat-093.xhtml.txt,реже,редко,ADV,AADVS,едпрсEрав,V,едизсEсEвмсEжпросE,SPRO,дасEпр,V,инсE,S,винедимрод,0
20_clean/xx_baltrus_balt-168.xhtml.txt,знаком,знакомсEй,A,AS,едкрмсEжсEвор,SPRO,им,V,едизсEсEвнепросE,A,дасEедмнмсEжполнсEредсEвор,CONJINTJPARTS,виндасEедиммнпрродсEвор,0
20_clean/xx_martynov_marty-384.xhtml.txt,мазка,мазок,S,AS,едженимкррод,PART,,V,едизсEсEвнепросE,SSPRO,виндасEедиммнпрродсEвор,V,деепрнепросE,0
20_clean/xx_selvinsky_selv2-129.xhtml.txt,глсEсEонемсEе,глсEсEонемой,S,AS,виниммннеодполн,V,изсEсEвмнпросE,ADVPROCONJPART,,ADVPROCONJ,,CONJPART,,0
20_clean/xx_smeliakov_smel-275.xhtml.txt,сEолсEсEой,сEолсEсEой,S,AS,дасEедженимполнпрродсEвор,S,винедиммнрод,AS,винедимкрмнмсEжрод,AS,винедимкрмнмсEжрод,AS,дасEедженимполнпрродсEвор,0
20_clean/xx_kuzmin_kzmn-036.xhtml.txt,сEасEов,сEасE,S,AS,винедиммнмсEжнеодрод,PRS,виндасEедиммнпрродсEвор,S,виндасEедмесEсEн,AS,винмнодполнпррод,INTJPRS,виндасEедиммнпрродсEвор,0
20_clean/xx_gorodecky_gorod-082.xhtml.txt,вдовой,вдова,S,AS,дасEедженполнпрродсEвор,S,виндасEед,S,винед,S,винед,S,винедиммнрод,0
20_clean/xx_adalis_adal-12.xhtml.txt,сEела,сEело,S,SV,винедженизсEсEвиммнпросEрод,S,виниммн,AS,виниммннеодполн,S,едим,CONJINTJPARTS,виндасEедиммнпрродсEвор,0
20_clean/xx_gippius_gip-032.xhtml.txt,сEмерсEисE,сEмерсEий,A,ASV,виндейсEсEвмнодполнпрприсEпросEрод,ADVPARTS,виним,AADV,едкрсEред,V,виндейсEсEвмнодполнпрприсEпросEрод,S,мнрод,0
20_clean/xx_narbut_narbut-155.xhtml.txt,сEели,сEесEсEсE,V,SV,винедизсEсEвиммнповпросE,CONJINTJPARTS,виндасEедиммнпрродсEвор,AADV,едкрсEред,V,изсEсEвмнпросE,AS,виндасEеджениммсEжнеодполнпрродсEвор,0
20_clean/xx_majakovsky_majak4-01.xhtml.txt,сEсEансE,сEсEан,S,SV,дасEедизсEсEвнепросE,V,инсE,PART,,APRO,виниммннеод,S,виндасEедиммнпррод,1
20_clean/xx_briusov_brius-1182.xhtml.txt,сEпасE,сEпасE,S,SV,винедизсEсEвиммсEжпросE,APROCONJPARTSPRO,винедимсEред,ADVPROCONJSPRO,виним,S,едим,PRS,виндасEедиммнпрродсEвор,1
20_clean/xx_bergholz_bergh-373.xhtml.txt,подасEсE,подасEсE,V,SV,винедиминсE,PRS,виндасEедиммнпрродсEвор,SPRO,винрод,S,едсEвор,ADVPARTS,виним,1
20_clean/xx_narbut_narbut-056.xhtml.txt,голсEбсE,голсEбой,A,AS,едимкрмнрод,ADVPROCONJPART,,S,винедим,S,едим,S,мнрод,0
20_clean/xx_smeliakov_smel-244.xhtml.txt,дали,далсE,S,SV,виндасEедизсEсEвиммнпрпросEродсEвор,SPRO,им,PRS,виндасEедиммнпрродсEвор,AAPRO,виниммннеод,PRS,виндасEедиммнпрродсEвор,0
20_clean/xx_majakovsky_majak4-09.xhtml.txt,мерсE,мерисEсE,V,SV,едмнповрод,APROS,винеджен,S,винедим,V,едпов,S,мнрод,0
20_clean/xx_majakovsky_majak7-024.xhtml.txt,гранисE,гранисE,S,SV,винедизсEсEвиммннепросEрод,PARTS,винедим,A,винедиммсEжнеодполн,S,винедим,PR,,0
20_clean/xx_gumilev_gumil-274.xhtml.txt,асEсEагаем,асEсEагасEсE?,,ASV,едизсEсEвкрмнмсEжнепросEповприсEсEсEрадсEвор,S,мнсEвор,V,едизсEсEвмсEжпросE,S,винедиммнрод,CONJINTJPARTS,виндасEедиммнпрродсEвор,0
20_clean/xx_ehrehnburg_eren-261.xhtml.txt,легкие,легкое,S,AS,виниммннеодполн,S,винедимпр,CONJPART,,S,виндасEедиммнпррод,V,деепрпросE,1
20_clean/xx_givanov_givan-521.xhtml.txt,сEсEасEсE,сEсEасEсE,V,SV,винедиминсE,V,едизсEсEвмсEжпросE,SPRO,им,S,едсEвор,S,винедиммнрод,1
20_clean/xx_smeliakov_smel-004.xhtml.txt,лсEбимасE,лсEбимсEй,A,ASV,едженимнепросEполнприсEсEсEрад,ASV,едженимнепросEполнприсEсEсEрад,V,едизсEсEвнепросE,V,едизсEсEвнепросE,INTJPRS,виндасEедиммнпрродсEвор,0
20_clean/xx_bely_bely-098.xhtml.txt,сEлез,сEлеза,S,SV,едизсEсEвмнмсEжпросEрод,SV,деепрнепросEрод,ADVAPROCOM,едкрсEред,CONJINTJPARTS,виндасEедиммнпрродсEвор,V,едизсEсEвнепросE,0
20_clean/xx_briusov_brius-1363.xhtml.txt,сEели,сEесEсEсE,V,SV,винедизсEсEвиммнповпросE,S,винедрод,ADVS,едсEвор,CONJINTJPARTS,виндасEедиммнпрродсEвор,ADV,,0
20_clean/xx_blok_blok2-0163.xhtml.txt,иванова,иванов,A,AS,винеджениммсEжодродсEред,S,едрод,ADVPR,,S,едрод,ADVPR,,0
20_clean/xx_pasternak_paster-381.xhtml.txt,замер,замер,S,SV,винедизсEсEвиммсEжпросE,S,дасEедпр,SSPRO,виндасEедиммнпрродсEвор,ADVPR,,AAPRO,винмнодпррод,1
20_clean/xx_schepkina-kupernik_kuper-118.xhtml.txt,мила,мила,S,AS,едженимкррод,V,инсEнесEов,A,едженкр,CONJINTJ,,AS,винедженполн,1
20_clean/xx_ellis_ellis-015.xhtml.txt,дана,дан,S,SV,винедженимкрприсEпросEродсEсEрад,S,винедим,S,едиммнрод,V,едпов,SSPRO,винедрод,1
20_clean/xx_briusov_brius-0660.xhtml.txt,дали,далсE,S,SV,виндасEедизсEсEвиммнпрпросEродсEвор,V,едизсEсEвнепросE,ADV,,V,едизсEсEвкрмнмсEжнепросEприсEпросEсEсEрад,A,винедженполн,0
20_clean/xx_annensky_anne-076.xhtml.txt,сEисEе,сEисEо,ADV,AADVS,дасEедпрсEрав,S,винедимпр,SV,винедизсEсEвнепросE,SPRO,им,A,едкрмсEж,0
20_clean/xx_briusov_brius-1264.xhtml.txt,бредов,бред,S,AS,винедкрмнмсEжрод,S,едпр,AS,виндасEедиммнодполнпрродсEвор,SV,винедимпов,PRS,винмнрод,0
20_clean/xx_majakovsky_majak8-158.xhtml.txt,сEсEисE,сEсEисE,S,SV,винедизсEсEвиммсEжпросE,PR,,S,едрод,PR,,SPRO,сEвор,1
20_clean/xx_gofman_gfmn-042.xhtml.txt,сEлез,сEлеза,S,SV,едизсEсEвмнмсEжпросEрод,S,винедиммнрод,SSPRO,виндасEедиммнпрродсEвор,PART,,PRS,виндасEедиммнпрродсEвор,0
20_clean/xx_gumilev_gumil-373.xhtml.txt,заклсEсEеннсEм,заклсEсEеннсEй,A,ASV,дасEедмнмсEжполнприсEпросEсEредсEсEрадсEвор,PR,,SSPRO,виндасEмнродсEвор,S,винедиммнрод,PART,,0
20_clean/xx_gorodecky_gorod-008.xhtml.txt,дали,далсE,S,SV,виндасEедизсEсEвиммнпрпросEродсEвор,AS,винедиммсEжнеодполн,A,виниммннеодполн,A,крмн,A,виниммннеодполн,0
20_clean/xx_blok_blok1-064.xhtml.txt,гранисE,гранисE,S,SV,винедизсEсEвиммннепросEрод,S,едрод,V,винедиммсEжнеодполнприсEпросEсEсEрад,SPRO,дасEпр,AADV,едкрсEред,0
20_clean/xx_antokolsky_antkl-234.xhtml.txt,сEсEолсEкого,сEсEолсEкий?,,AS,винедмсEжодполнродсEред,SV,едизсEсEвмнмсEжпросEрод,SSPRO,виндасEедиммнпрродсEвор,PRS,виндасEедиммнпрродсEвор,S,виндасEедиммнпррод,0
20_clean/xx_cvetaeva_cvet1-717.xhtml.txt,нем,немой,A,ASSPRO,едкрмнмсEжпррод,A,едкрмсEж,CONJINTJPARTS,виндасEедиммнпрродсEвор,CONJINTJPARTS,виндасEедиммнпрродсEвор,NUM,виним,0
20_clean/xx_blok_blok2-0317.xhtml.txt,дали,далсE,S,SV,виндасEедизсEсEвиммнпрпросEродсEвор,PRS,виндасEедиммнпрродсEвор,APROS,виниммннеод,V,едизсEсEвнепросE,SPRO,им,0
20_clean/xx_briusov_brius-1005.xhtml.txt,сEасE,сEаисEсE,V,SV,деепредимнепросE,A,едженимполн,S,винедим,INTJPRS,виндасEедиммнпрродсEвор,A,едженимполн,0
20_clean/xx_kuzmin_kzmn-244.xhtml.txt,младой,млада,S,AS,виндасEеджениммсEжнеодполнпрродсEвор,S,винед,V,деепрпросE,CONJINTJPARTS,виндасEедиммнпрродсEвор,A,винедиммсEжнеодполн,1
20_clean/xx_kuzmin_kzmn-120.xhtml.txt,сEбисEсEсE,сEбисEсEй,A,ASV,винмнодполнпрприсEпросEродсEсEрад,ADVPROCONJPART,,S,едим,S,винмнрод,SPRO,дасEпр,0
20_clean/xx_majakovsky_majak6-66.xhtml.txt,дай,дасE,S,SV,винедмнповрод,CONJINTJPARTS,виндасEедиммнпрродсEвор,S,мнрод,V,едизсEсEвнепросE,S,мнрод,1
20_clean/xx_gippius_gip-408.xhtml.txt,сEолсEсEой,сEолсEсEой,S,AS,дасEедженимполнпрродсEвор,CONJINTJPARTS,виндасEедиммнпрродсEвор,ADVPROPART,,INTJS,винедиммнрод,CONJINTJPARTS,виндасEедиммнпрродсEвор,0
20_clean/xx_bunin_bunin-384.xhtml.txt,нoсEнсEе,носEной,A,AS,виниммннеодполн,AS,виниммннеодполн,S,едиммнрод,S,едиммнрод,A,винедиммсEжнеодполн,0
20_clean/xx_polonskaja_epolo-134.xhtml.txt,дали,далсE,S,SV,виндасEедизсEсEвиммнпрпросEродсEвор,SV,винедиминсEпов,PART,,V,изсEсEвмннепросE,S,виниммн,1
20_clean/xx_kuzmin_kzmn-731.xhtml.txt,сEсEансE,сEсEан,S,SV,дасEедизсEсEвнепросE,A,едженполнсEвор,V,едизсEсEвнепросE,SSPRO,виндасEедиммнпрродсEвор,A,дасEедмнмсEжполнсEредсEвор,1
20_clean/xx_briusov_brius-0480.xhtml.txt,росE,рсEсEсE,V,SV,дасEедизсEсEвмесEсEннепросE,S,винедиммнрод,A,виниммннеодполн,INTJS,мнрод,ADVPROCONJSPRO,виним,0
20_clean/xx_ehrehnburg_eren-391.xhtml.txt,гранисE,гранисE,S,SV,винедизсEсEвиммннепросEрод,S,виним,V,едизсEсEвнепросE,S,мнрод,SPRO,им,0
20_clean/xx_martynov_marty-718.xhtml.txt,сEмолк,сEмолк,S,SV,винедизсEсEвиммсEжпросE,V,едизсEсEвмсEжпросE,CONJINTJPARTS,виндасEедиммнпрродсEвор,APROCONJPARTSPRO,винедимсEред,A,винедиммсEжнеодполн,1
20_clean/xx_oleynikov_olein-015.xhtml.txt,подлсEнной,подлсEннсEй,A,AS,дасEедженполнпрродсEвор,ADVPRO,,PRS,виндасEедиммнпрродсEвор,ADVV,едизсEсEвнепросE,CONJPART,,0
20_clean/xx_balmont_balm-754.xhtml.txt,сEмела,сEмесEсE,V,ASV,едженизсEсEвимкрпросE,ADVPROCONJSPRO,виним,SPRO,им,S,едим,SV,винедимпов,0
20_clean/xx_balmont_balm-267.xhtml.txt,пропасEсEсE,пропасEсEсE,V,SV,винедиминсE,S,винедим,PART,,AS,едженимполн,AADV,едкрсEред,1
20_clean/xx_kuzmin_kzmn-013.xhtml.txt,сEлез,сEлеза,S,SV,едизсEсEвмнмсEжпросEрод,S,виндасEедиммнпррод,S,едрод,PART,,V,едизсEсEвнепросE,0
20_clean/xx_kuzmin_kzmn-501.xhtml.txt,плавней,плавенсE,S,AADVS,мнродсEрав,V,едизсEсEвнепросE,PR,,A,винмнодполнпррод,S,мнрод,1
20_clean/xx_smeliakov_smel-295.xhtml.txt,мила,милсEй,A,AS,едженимкррод,A,едженкр,CONJINTJPARTS,виндасEедиммнпрродсEвор,ADVS,виндасEедиммнпрродсEвор,A,едженимполн,0
20_clean/xx_majakovsky_majak8-081.xhtml.txt,мобилизованнсEй,мобилизованнсEй,S,SV,винедиммсEжнеодполнприсEпросEсEсEрад,S,винедим,S,едсEвор,CONJINTJPARTS,виндасEедиммнпрродсEвор,AV,винедиммсEжнеодполнприсEпросEсEсEрад,0
20_clean/xx_cvetaeva_cvet1-089.xhtml.txt,сEсEали,сEсEалсE,S,SV,виндасEедизсEсEвиммнпрпросEрод,V,деепрпросE,S,едиммнрод,PRS,виндасEедиммнпрродсEвор,S,мнсEвор,1
20_clean/xx_briusov_brius-1678.xhtml.txt,дай,дасEсE,V,SV,винедмнповрод,S,едрод,S,винедим,SPRO,дасEпр,V,инсE,0
20_clean/xx_kuzmin_kzmn-219.xhtml.txt,сEвесEила,сEвесEило,S,SV,винедженизсEсEвиммннеододпросEрод,S,мнрод,ADVAPROPARTSPRO,винедиммннеодсEред,S,едиммнрод,S,винедиммнродсEвор,0
20_clean/xx_majakovsky_majak7-099.xhtml.txt,госEоргансE,госEорган?,,SV,винедимкрмнприсEпросEродсEсEрад,V,едизсEсEвнепросE,V,едизсEсEвнепросE,A,виниммннеодполн,ADV,,0
20_clean/xx_kuzmin_kzmn-002-03.xhtml.txt,посEелсEй,посEелсEй,S,SV,винедимпов,A,винедиммсEжнеодполн,APROSPRO,винедиммсEжнеод,PRS,виндасEедиммнпрродсEвор,SPRO,дасE,0
20_clean/xx_schepkina-kupernik_kuper-126.xhtml.txt,грсEдсEсEем,грсEдсEсEее,S,ASV,дейсEсEведмсEжнепросEполнпрприсEсEред,ASV,дейсEсEведмсEжнепросEполнпрприсEсEред,S,едпр,SSPRO,виндасEедиммнпрродсEвор,V,едизсEсEвнепросE,0
20_clean/xx_annensky_anne-247-10.xhtml.txt,инасEовой,инасEова?,,AS,дасEедженпрродсEвор,S,мнпр,V,едизсEсEвпросEсEред,SV,едмнповродсEвор,PRS,виндасEедиммнпрродсEвор,0
20_clean/xx_bunin_bunin-278.xhtml.txt,песEров,песEров,A,AS,винедиммнмсEжнеодрод,A,винедимсEред,PARTPR,,V,едизсEсEвнепросE,SV,винедимпов,0
20_clean/xx_schepkina-kupernik_kuper-142.xhtml.txt,сEолсEсEой,сEолсEсEой,S,AS,дасEедженимполнпрродсEвор,SPRO,дасE,S,едим,CONJINTJPARTS,виндасEедиммнпрродсEвор,V,едизсEсEвмсEжпросE,0
20_clean/xx_balmont_balm3-173.xhtml.txt,богасEе,богасEо,ADV,AADVS,едпрсEрав,S,виндасEедиммнпррод,V,винедиммсEжнеодполнприсEпросEсEсEрад,V,едизсEсEвмсEжпросE,PR,,0
20_clean/xx_lugovskoy_lugov-123.xhtml.txt,дай,дасEсE,V,SV,винедмнповрод,CONJINTJPARTS,виндасEедиммнпрродсEвор,AS,виндасEеджениммсEжнеодпрродсEвор,SPRO,дасEпр,S,винед,0
20_clean/xx_antokolsky_antkl-370.xhtml.txt,домовой,домовсEй,A,AS,дасEедженимполнпрродсEвор,PART,,V,едизсEсEвнепросE,APROV,винедиммсEжнеодпов,S,едим,1
20_clean/xx_pasternak_paster-043.xhtml.txt,косEлов,косEел,S,AS,едимкрмнмсEжрод,PRS,винмнрод,AS,виндасEедиммнодполнпрродсEвор,V,деепрнепросE,S,винед,0
20_clean/xx_briusov_brius-1167.xhtml.txt,грсEдсEсEем,грсEдсEсEее,S,ASV,дейсEсEведмсEжнепросEполнпрприсEсEред,S,винедимпр,INTJPRS,виндасEедиммнпрродсEвор,S,дасEедиммнпррод,SPRO,им,0
20_clean/xx_kuzmin_kzmn-303.xhtml.txt,рсEсEсEкие,рсEсEсEкий,S,AS,виниммннеодполн,A,виниммннеодполн,PART,,S,винедиммнрод,PRS,виндасEедиммнпрродсEвор,0
20_clean/xx_bely_bely-168.xhtml.txt,воронсEсE,вороний,A,AS,едженимрод,V,едизсEсEвнепросE,SV,винедизсEсEвнепросE,V,изсEсEвмннепросE,S,виниммн,1
20_clean/xx_smeliakov_smel-130.xhtml.txt,сEел,сEело,S,SV,едизсEсEвмнмсEжпросEрод,S,едсEвор,SSPRO,виндасEедиммнпрродсEвор,PRS,виндасEедиммнпрродсEвор,A,винедиммсEжнеодполн,1
20_clean/xx_bunin_bunin-101.xhtml.txt,сEасEов,сEасE,S,AS,винедиммнмсEжнеодрод,AS,едкрмнмсEжрод,CONJINTJPARTS,виндасEедиммнпрродсEвор,A,винедиммсEжнеодполн,S,винедим,0
20_clean/xx_balmont_balm2-160.xhtml.txt,дай,дасEсE,V,SV,винедмнповрод,S,винедиммнрод,SSPRO,виндасEмнродсEвор,APRONUMS,винедиммсEжнеод,CONJPART,,0
20_clean/xx_briusov_brius-0153.xhtml.txt,безгрезном,безгрезнсEй?безгрезной?,,AS,едмсEжполнпрсEред,V,едизсEсEвмсEжпросE,PRS,виндасEедиммнпрродсEвор,S,едпр,PRS,виндасEедиммнпрродсEвор,0
20_clean/xx_schepkina-kupernik_kuper-149.xhtml.txt,ресE,ресE,S,SV,деепредимнепросEрод,SSPRO,виндасEмнродсEвор,V,деепрнепросE,CONJINTJPARTS,виндасEедиммнпрродсEвор,V,деепрнепросE,1
20_clean/xx_majakovsky_majak8-066.xhtml.txt,десEи,ребенок,S,SV,иминсEисEкажмн,SV,виндасEедиммнповпррод,V,изсEсEвмннепросEпов,V,изсEсEвмннепросEпов,PARTPR,,0
